_id,ID,Name,Price,Content,Contact,District,Image1,Image2,Image3,Type
6772b205762d460aa8c7c19e,1,Cho thuê phòng nhà hẻm đối diện Sở Thú Q.1 đường Nguyễn Bỉnh Khiêm.,1.7,"\nĐịa chỉ 11D4 Nguyễn Bỉnh Khiêm P Bến Nghé Q1.\n\nDTSD 11㎡.\n\nNhà nằm ngay hẻm 11Biz Nguyễn Bỉnh Khiêm, đối diện sở thú thảo cầm viên.\n\nƯu tiên sinh viên, công nhân viên làm giờ hành chính.\n\nưu tiên cho nữ, phòng sạch đẹp, rộng.\n\nGần trường đại học Khoa Học Xã Hội và Nhân Văn, trường đại học Dược.\n\nChính chủ cho thuê giá 1,7tr - 2tr/tháng.",814560185,Q1,/images/Q1/tro1hinh1.jpg,/images/Q1/tro1hinh2.jpg,/images/Q1/tro1hinh3.jpg,phong
6772b205762d460aa8c7c19f,2,Cho Thuê Phòng Trọ Q1 ( Ưu Tiên các bạn Nữ ),2,"\nCHO THUÊ PHÒNG TRỌ ( ƯU TIÊN CÁC BẠN NỮ )\n\nPhòng cho thuê nằm ngay trung tâm quận 1\n\nKhu thuê có camera của phường Nguyễn Cư Trinh, Q1\n\nGần chợ : Thái Bình, chợ Con & có 1 chợ nhỏ gần khu thuê\n\nGần trường Đại Học: ĐH Tự Nhiên, ĐH Sư Phạm, ĐH Sài Gòn\n\nGần siêu thị : Siêu thị Co-op Cống Quỳnh, Siêu Thị Hà Nội\n\nCó khu vực nấu ăn , có Wifi\n\nCó chổ đẻ xe ( nhưng xin các bạn giúp lưu ý đẻ xe & đóng cửa cẩn thận tránh mất xe của những bạn ở chung nhà khi ra vào )\n\nDo nhà thuê toàn là nữ nên sẽ có giới hạn thời gian đóng cửa nhà (11Pm_11.30pm) , mong các bạn lưu ý điều này\n\nGiá thuê là : 2.000.000 vnd/ tháng ( nếu ở 1 bạn)\n\n2.200.000vnd/tháng (nếu ở 2 bạn)\n\nDo cô Lan lớn tuổi không rành công nghệ nên các bạn giúp alo trực tiếp đẻ liên hệ xem phòng\n\nLIÊN HỆ XEM PHÒNG : Cô Lan_0909795341 / Chú Thắng : 0908793040\n\nHẺM 214/ C26 NGUYỄN TRÃI, F. NGUYỄN CƯ TRINH, QUẬN 1\n\n( XIN TIẾP NGƯỜI THIỆN CHÍ, XIN MIỄN TIẾP TRUNG GIAN)\n\nXin cám ơn Cô / Chú / Các bạn đã dành thời gian xem tin",909795341,Q1,/images/Q1/tro2hinh1.jpg,/images/Q1/tro2hinh2.jpg,,phong
6772b205762d460aa8c7c1a0,3,"Phòng trọ giá rẻ sinh viên tại Tk21/10 Nguyễn Cảnh Chân, Phường Cầu Kho, Quận 1",2.6,"\nCho thuê phòng như hình tại địa chỉ TK 21/10 Nguyễn Cảnh Chân, p.Cầu Kho, Q1 (đối diện bộ C.A).\n\nGần các trường ĐH KHTN, đh Sài Gòn, đh sp tphcm,…hẻm rộng an ninh,sạch sẽ, thoải mái.\n\nGiá phòng 2,6tr\n\nCó máy lạnh, nệm, kệ bếp chung trước cửa phòng, máy giặt chung,...vv)\n\n2 phòng wc sạch sẽ\n\nĐiện 4k,nước 100/ng.\n\n0703737884 - gặp Tuấn",703737884,Q1,/images/Q1/tro3hinh1.jpg,/images/Q1/tro3hinh2.jpg,,phong
6772b205762d460aa8c7c1a1,4,PHÒNG CÓ CỬA SỔ SẠCH SẼ THOÁNG MÁT GẦN CẦU BÙI HỮU NGHĨA,2.7,"\nĐịa chỉ: 18/ Phố Nguyễn Huy Tự, Phường Đa Kao, Quận 1, Hồ Chí Minh\n\nPhòng CÓ cửa sổ thoáng mát.\n\nCó toilet riêng, kệ bếp, giờ giấc tự do không chung chủ.\n\nĐược nấu ăn. Có chỗ để xe miễn phí.\n\nNhà toàn người lịch sự. Cửa khóa vân tay, an toàn và tiện lợi.\n\nGần ngay trung tâm TP, thuận tiện đi học và đi làm tại quận Bình Thạnh, Q1, Q3, Phú Nhuận...\n\nĐịa chỉ: 14 Vũ Tùng,P2, Bình Thạnh (chạy chút xíu qua cầu Bùi Hữu Nghĩa là tới Q1)\n\nLiên hệ anh Chung chính chủ để xem phòng nhé: 0938 037 802/ 056 3740 2204",938037802,Q1,/images/Q1/tro4hinh1.jpg,/images/Q1/tro4hinh2.jpg,,phong
6772b205762d460aa8c7c1a2,5,"Cho thuê phòng trọ 3tr/1 tháng, đường phạm đình chính, p. nguyễn cư trinh, quận 1",3,"\nĐịa chỉ: 59/1A Đường Phạm Viết Chánh, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh\n\nCần cho thuê gấp phòng trọ 3tr, đường phạm đình chính , phường Nguyễn cư trinh, quận 1 ( mình có việc cần chuyển đi)\n\nPhòng trọ sạch sẽ, có tủ lạnh , máy lạnh, quạt, nệm, cây treo quần áo\n\n- Lầu 2, nhà vệ sinh chung, có thể nấu ăn, có cửa sổ trong phòng và cửa sổ hành lang, có máy giặt đồ chung ở sân thượng, có sân phơi\n\n- diện tích 3m*3,5m, phòng ở 1 mình rộng rãi\n\n- tiền phòng 3tr\n\n- cọc 2,5tr ( có thể thương lượng thêm)\n\nMọi thông tin xin liên hệ Xuân Đỗ: 0348226338 ( số đt, zalo)",348226338,Q1,/images/Q1/tro5hinh1.jpg,/images/Q1/tro5hinh2.jpg,,phong
6772b205762d460aa8c7c1a3,6,CHO THUÊ PHÒNG TRỌ GẦN PHỐ ĐI BỘ CÓ THANG MÁY,3.5,"\nĐịa chỉ: 64 Tôn Thất Đạm, Phường Bến Nghé, Quận 1, Hồ Chí Minh\n\nPHÒNG NGAY TRUNG TÂM QUẬN 1 .\n\nĐịa chỉ: 74 Tôn Thất Đạm, Phường Bến Nghé, Quận 1.\n\nChi phí bao gồm: phí quản lý 100k, điện 4k, nước 100k/ người\n\nLIÊN HỆ : 076 534 0779",765340779,Q1,/images/Q1/tro6hinh1.jpg,/images/Q1/tro6hinh2.jpg,,phong
6772b205762d460aa8c7c1a4,7,Cho thuê phòng trọ trung tâm quận 1 giá chỉ 5tr5,5.5,"\nĐịa chỉ: 459 Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Hồ Chí Minh\n\nVị trí gần Trần Hưng Đạo cắt Nguyễn Văn Cừ\n\nĐối diện công an thành phố an ninh. Đường trần hưng đạo quẹo vào hẻm cách 2 căn tới,.\n\nĐiện 4000/ kwh\n\nNước 100k / người\n\nWifi 100k / tháng\n\nLiên hệ xem phòng: 0932679362",932679362,Q1,/images/Q1/tro7hinh1.jpg,/images/Q1/tro7hinh2.jpg,,phong
6772b205762d460aa8c7c1a5,8,Phòng trọ quận 2 nội thất cơ bản gần trường đại học UMT KDC Cát Lái Quận 2,1.75,"\nĐịa chỉ: 105-107 Đường số 55, Phường Cát Lái, Quận 2, Hồ Chí Minh\n\nPhòng trọ quận 2 nội thất cơ bản gần trường đại học UMT KDC Cát Lái Quận 2\n\nNỘI THẤT CƠ BẢN\n\nAN NINH, THÔNG THOÁNG\n\nGIỜ GIẤC TỰ DO\n\nMÔI TRƯỜNG YÊN TĨNH\n\nCÓ NẤU ĂN, MÁY LẠNH\n\nCỌC 2TR, HỢP ĐỒNG 10 THÁNG\n\nLH: 0931113011",931113011,Q2,/images/Q2/tro1hinh1.jpg,/images/Q2/tro1hinh2.jpg,/images/Q2/tro1hinh3.jpg,phong
6772b205762d460aa8c7c1a6,9,"Cho thuê phòng trọ Lương Đình Của, Quận 2, DT 15m², mới xây giá chỉ 1,9 triệu/tháng",1.9,"\nĐịa chỉ: 264 Lương Định Của, Phường An Phú, Quận 2, Hồ Chí Minh\nPhòng trọ mới xây cho thuê tại đường Lương Định Của, Phường An Phú, Quận 2, TP.HCM.\n\nNằm giữa hai tuyến đường lớn là Lương Định Của và Mai Chí Thọ, chỉ cách 100m, thuận tiện di chuyển đến hầm Thủ Thiêm, cầu Thủ Thiêm 1 qua Bình Thạnh.\n\nTừ đây, bạn có thể dễ dàng đến Trần Não và khu Thảo Điền chỉ mất khoảng 5 đến 10 phút.\n\n- Khoảng cách đến các quận lân cận như Quận 1, Quận 8, Quận 9, Bình Thạnh, Thủ Đức... chỉ từ 5 đến 15 phút di chuyển.\n\n- Gần các trường đại học như Đại học Quốc tế Úc, Đại học Hutech, Đại học Giao thông Vận tải... chỉ mất từ 5 đến 15 phút đi học.\n\n- Kết nối thuận tiện đến trung tâm các quận và các trung tâm thương mại lớn như Metro An Phú, Co.opmart, Vinmart...\n\nTiện ích vượt trội:\n\n- Giờ giấc tthoải mái, phòng không chung chủ.\n\n- Diện tích phòng từ 15m², có cửa sổ thoáng gió cả ngày.\n\n- Trang bị đồng hồ điện, nước riêng biệt cho từng phòng.\n\n- Phòng có bếp nấu ăn, bồn rửa, WC riêng, thiết kế khép kín.\n\n- Hệ thống kiểm soát ra vào bằng cửa từ vân tay, an ninh đảm bảo với camera 24/24.\n\n- Wifi cáp quang tốc độ cao 250mb, chỗ phơi đồ thoáng mát, đón nắng và gió tự nhiên.\n\n- Nhà xe rộng rãi, miễn phí và trang bị hệ thống phòng cháy chữa cháy an toàn.\n\n- Có người quản lý tại chỗ 24/24 và dịch vụ dọn dẹp khu vực chung (nhà xe, hành lang, cầu thang) sạch sẽ.\n\nChi phí dịch vụ:\n\n- Điện: 3.500đ/kWh\n\n- Nước máy: 20.000đ/m³\n\n- Máy giặt: 50.000đ/tháng\n\n- Giá phòng chỉ từ 1.900.000đ.\n\n- Miễn phí các dịch vụ: rác, dọn vệ sinh, giữ xe.\n\nLiên hệ ngay để xem phòng và dọn vào ở hôm nay: 0389250024.",389250024,Q2,/images/Q2/tro2hinh1.jpg,/images/Q2/tro2hinh2.jpg,/images/Q2/tro2hinh3.jpg,phong
6772b205762d460aa8c7c1a7,10,"Cho thuê nhà trọ giá rẻ đường Nguyễn Duy Trinh, Quận 2",2.1,"\nĐịa chỉ: 270 Đường Nguyễn Duy Trinh, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh\nVị trí thuận lợi, gần trung tâm và các dịch vụ tiện ích.\n\nKhu vực sạch sẽ, an ninh.\n\nPhòng giờ giấc tự do, toilet riêng trong phòng, có gác lửng đúc bê tông.",932759898,Q2,/images/Q2/tro3hinh1.jpg,/images/Q2/tro3hinh2.jpg,,phong
